Year	RSDN(1)_Night=0	RSUP(1)_Night=0	RLDN(1)	RLUP(1)	RNET(1)	PPT(1)	NEE 	GPP	RE 	ET	H	LE	 T_AIR(1)	T_SOIL
2010	5967.58	336.6427648	12809.80742	16085.36462	2355.380036	0	-1.2946418	3.166769	1.872128	0.379269	1597.734161	514.1208323	2.170387517	1.384203125
2010	4418.74	171.4587029	13558.37671	15927.51292	1878.145088	0	-2.3293873	4.088514	1.759127	0.448582	2021.191221	608.0782437	1.173951192	1.299190417
2010	5772.51	1411.688923	13457.71203	15219.70322	2598.829882	0	-2.1907286	3.555798	1.365069	0.959192	1140.132145	1300.238373	-2.147294577	0.839864792
2010	7975.11	849.5836518	12148.4678	15518.8527	3755.141447	6.5	-2.548045	4.149941	1.601896	1.403107	-107.2882307	1901.98941	0.073634542	0.6404325
2010	1260.15	50.34581782	14155.64508	16517.88385	-1152.434594	6.5	0.5873061	1.501274	2.08858	0.468915	-1533.036689	635.6398299	4.581068467	0.853788542
2010	11024.46	611.4544901	10994.55272	15798.08455	5609.473681	0	-4.0999495	5.740141	1.640192	0.847874	4866.030507	1149.340928	0.901397073	0.809411875
2010	5854.61	288.5185828	13922.60119	16587.46232	2901.230284	6	-1.6280985	3.69171	2.063611	0.48344	1864.866315	655.3299921	4.626051375	1.305412292
2010	2310.21	80.23907754	15383.43083	17399.42625	213.9755021	14.5	-0.3544707	2.863735	2.509264	1.403541	-3089.761216	1902.577243	8.331794375	4.345039583
2010	10845.45	728.2282222	10804.09367	15649.85232	5271.463135	0	-4.1747881	5.732745	1.557957	1.324378	4528.024717	1795.268573	0.18463425	2.245747917
2010	6081.15	312.8537619	12190.84241	15290.86104	2668.277608	0	-2.4937751	3.841217	1.347442	0.442061	2686.876837	599.2380033	-1.982516063	0.872902292
2010	11935.24	717.0725758	11112.5351	15577.25322	6753.449313	0	-2.5518687	4.094549	1.542681	1.174084	5649.696446	1591.536002	-0.309068	0.780322708
2010	7239.36	408.761419	12886.51296	15949.09946	3768.012087	0	-1.3076422	3.07935	1.771708	0.269791	3434.930927	365.7170985	1.328463729	0.829533125
2010	541.78	16.07614683	15841.34091	17050.44946	-683.4046954	0	1.8361533	0.604658	2.440811	0.460076	-332.8411055	623.6589175	6.644431458	2.8538625
2010	11058.89	744.0015453	11576.81718	16041.99519	5849.710443	0	-5.0184371	6.920667	1.902229	1.683022	4970.045776	2281.430291	1.983174763	2.362983333
